MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-971.3756592541071,-814.2127164965954,-800.9949290473285,-871.5488210782045
-1354.0670739636332,-509.9403619855761,-512.8638838896726,-503.13843020234873
-1504.898299668251,-532.9473272996831,-546.0459795368768,-571.1311436152135
-1340.0759341221178,-451.24521825402365,-1412.9042249335678,-469.7066283092064
-850.509367722763,-763.7325461044567,-1404.2641441735407,-589.270547840663
-1478.7002283351928,-787.8372626014798,-1244.5254245708768,-470.1727386262655
-1269.8197746472124,-389.69401736132295,-331.9669091009038,-497.0312950997101
-1268.028582463899,-786.4187820715306,-689.3731871339165,-447.4980874276604
-1663.2625214558216,-605.2449422566069,-1597.9594222276683,-710.4113241914598
-1668.5056444196844,-528.5722830335603,-417.1166174635617,-510.8081181527141
-1412.4012413392315,-479.3190320261744,-403.82049200836843,-502.2353667676222
-1300.4761899766784,-311.51890201410754,-417.2161486724105,-483.4006776730203
-1558.100566176375,-499.53706451715027,-418.37477700684633,-487.4692963377944
-1597.4424628050758,-499.19056238933814,-1200.2659285371003,-527.6164301526586
-760.380370070797,-513.4208394927745,-1689.7982708636841,-477.3422166323945
-1485.3140601641353,-485.75778155877913,-938.7479991721741,-504.1862834900244
-1151.9191669903196,-372.15089365078086,-469.0605300787333,-787.5211532478233
-967.1120663871934,-411.42326318725026,-443.9543231400605,-434.3256233803758
-934.0579105653455,-365.88552568618877,-1088.5055513853908,-420.3649765989322
-675.8227313961863,-419.12610244122084,-1152.7472640284716,-413.16147455232095
-434.85832004964226,-515.2038671697973,-1209.0020449014396,-444.09306282053444
-367.8056533070553,-471.35338037768963,-401.0813793968749,-497.25023881886636
-384.42790235886235,-464.13755920762935,-1521.5034577218375,-499.1811028814873
-892.5201725813845,-457.634314290272,-304.16677507422617,-394.4065021905992
-1193.217749970157,-426.08004483426174,-165.36706343644937,-403.23358418297573
-1226.7430628010534,-479.0370504269693,-794.0953115363443,-511.7435234986803
-316.0476434581162,-357.4682429531821,-377.4687595703682,-520.7800865430355
-1391.9671555156501,-410.66141454539843,-459.57577699969096,-307.70620963889166
-951.8656000327701,-407.5312024886082,-335.07152093596,-389.0537264129627
-1418.74687461484,-380.8329811738229,-791.8148426322304,-341.9560656962717
-304.23463165760836,-377.6352267953453,-646.6999349918127,-405.7866038353369
-635.8249519520103,-374.79100137095884,-250.04775481339053,-301.83334477347427
-145.25268089836524,-431.3082115657188,-286.4453155291805,-312.88559319852726
-330.18447783223814,-297.8156286233099,-620.3034445110009,-341.15600643987636
-1156.606340526162,-317.98879883277255,-235.35573910749727,-307.3953463204151
-334.8666135898036,-274.42571997075515,-279.4573962083883,-211.70844193379455
-469.13863436426067,-299.700746857373,-364.55791589465,-295.87071657549575
-716.0013679742253,-337.9770162726762,-267.1891213829532,-333.7536345006814
-159.9673417235042,-291.2976005255659,-236.6592236980513,-295.94916468011826
-1400.8980295598535,-309.91793994244966,-260.21187438878263,-236.501348322511
-274.72288980378056,-330.79046922323505,-321.4878117637478,-211.1353134450754
-410.84551087317914,-265.3440165551366,-238.3607146838301,-206.31454854916495
-1127.9354012484098,-311.9938868166133,-965.1968859630658,-283.4065715411069
-1008.9588393218223,-347.98088482698853,-302.67743566822224,-320.823701809967
-398.4598279810339,-305.30894235961364,-190.40921925233943,-260.94466170587305
-302.8305354601894,-403.58596322011954,-259.51219004239044,-297.195014022862
-297.00010628370205,-372.9437652660964,-307.0923725048104,-258.1132553294079
-245.58671228097495,-275.2988584168511,-231.63692708973383,-198.1180332258316
-1029.6047961886306,-334.03321558368884,-285.68356542396964,-159.2207886550506
